indicator_name,indicator_date,value,unit,region,source,frequency,previous_value,change,trend,impact_assessment,notes
GDP成長率,2024-03-31,3.07,%,台灣,主計處,季,2.42,0.65,上升,經濟成長穩健,2024Q1 GDP成長率優於預期
GDP成長率,2023-12-31,2.42,%,台灣,主計處,季,1.74,0.68,上升,經濟復甦,2023Q4 GDP成長率回升
GDP成長率,2023-09-30,1.74,%,台灣,主計處,季,1.45,0.29,上升,經濟緩步復甦,2023Q3 GDP成長率小幅成長
消費者物價指數,2024-03-31,2.14,%,台灣,主計處,月,2.43,-0.29,下降,通膨壓力減輕,2024年3月 CPI 年增率下降
消費者物價指數,2024-02-29,2.43,%,台灣,主計處,月,2.19,0.24,上升,通膨壓力略升,2024年2月 CPI 年增率上升
消費者物價指數,2024-01-31,2.19,%,台灣,主計處,月,2.31,-0.12,下降,通膨壓力減輕,2024年1月 CPI 年增率下降
失業率,2024-03-31,3.35,%,台灣,主計處,月,3.39,-0.04,下降,就業市場改善,2024年3月失業率下降
失業率,2024-02-29,3.39,%,台灣,主計處,月,3.41,-0.02,下降,就業市場穩定,2024年2月失業率略降
失業率,2024-01-31,3.41,%,台灣,主計處,月,3.38,0.03,上升,就業市場微幅波動,2024年1月失業率略升
利率,2024-03-31,2.00,%,台灣,中央銀行,季,1.875,0.125,上升,央行升息因應通膨,2024Q1 央行升息1碼
利率,2023-12-31,1.875,%,台灣,中央銀行,季,1.875,0.00,持平,利率維持不變,2023Q4 利率維持不變
製造業PMI,2024-03-31,52.1,,台灣,中經院,月,51.2,0.9,上升,製造業景氣擴張,2024年3月 PMI 擴張
製造業PMI,2024-02-29,51.2,,台灣,中經院,月,50.5,0.7,上升,製造業景氣改善,2024年2月 PMI 上升
製造業PMI,2024-01-31,50.5,,台灣,中經院,月,49.8,0.7,上升,製造業景氣轉擴張,2024年1月 PMI 回到擴張區
出口金額,2024-03-31,419.0,億美元,台灣,財政部,月,375.6,43.4,上升,出口成長強勁,2024年3月出口年增率成長
出口金額,2024-02-29,375.6,億美元,台灣,財政部,月,350.5,25.1,上升,出口持續成長,2024年2月出口成長
出口金額,2024-01-31,350.5,億美元,台灣,財政部,月,380.2,-29.7,下降,出口略降,2024年1月出口下降
外銷訂單,2024-03-31,450.0,億美元,台灣,經濟部,月,420.5,29.5,上升,外銷訂單成長,2024年3月外銷訂單成長
外銷訂單,2024-02-29,420.5,億美元,台灣,經濟部,月,400.8,19.7,上升,外銷訂單穩定成長,2024年2月外銷訂單成長
外銷訂單,2024-01-31,400.8,億美元,台灣,經濟部,月,430.2,-29.4,下降,外銷訂單下降,2024年1月外銷訂單下降
工業生產指數,2024-03-31,105.2,,台灣,經濟部,月,102.8,2.4,上升,工業生產成長,2024年3月工業生產指數上升
工業生產指數,2024-02-29,102.8,,台灣,經濟部,月,101.5,1.3,上升,工業生產穩定成長,2024年2月工業生產指數上升
工業生產指數,2024-01-31,101.5,,台灣,經濟部,月,103.2,-1.7,下降,工業生產下降,2024年1月工業生產指數下降
